Subject Primary Identifier	Ontology Annotation Subject . Symbol	Base Annotations Subject . Symbol	Subject Background	Subject Zygosity	Ontology Annotation Ontology Term . Identifier	Ontology Annotation Term Name
MGI:97357	Mycn	Mycn<tm1Par>/Mycn<+>	involves: 129S2/SvPas * C57BL/6J	ht	MP:0011086	postnatal lethality, incomplete penetrance
MGI:1930780	Myh10	Myh10<ehc>/Myh10<tm2Rsad>	involves: 129S4/SvJae * 129S5/SvEvBrd * 129S7/SvEvBrd * C57BL/6J	ht	MP:0011092	embryonic lethality, complete penetrance
MGI:107717	Myh9	Myh9<tm1.1Dash>/Myh9<+>	involves: 129S2/SvPas * C57BL/6 * C57BL/6J * CBA	ht	MP:0011100	preweaning lethality, complete penetrance
MGI:97272	Myl2	Myl2<tm1(Hand1)Tana>/Myl2<+>	involves: 129X1/SvJ * C57BL/6J	ht	MP:0011099	lethality throughout fetal growth and development, complete penetrance
MGI:97276	Myog	Myog<tm1Whk>/Myog<tm2Whk>	involves: 129S7/SvEvBrd * C57BL/6	ht	MP:0011087	neonatal lethality, complete penetrance
MGI:1914813	Narfl	Narfl<tm1.2Fsl>/Narfl<+>	involves: C57BL/6 * C57BL/6NTac	ht	MP:0011101	prenatal lethality, incomplete penetrance
MGI:97281	Ncam1	Ncam1<tm2Mag>/Ncam1<+>	involves: 129 * C57BL/6	ht	MP:0011091	prenatal lethality, complete penetrance
MGI:1929915	Ncoa6	Ncoa6<tm1Hhs>/Ncoa6<+>	129S6/SvEvTac-Ncoa6<tm1Hhs>	ht	MP:0011088	neonatal lethality, incomplete penetrance
MGI:1929915	Ncoa6	Ncoa6<tm1Hhs>/Ncoa6<+>	129S6/SvEvTac-Ncoa6<tm1Hhs>	ht	MP:0011101	prenatal lethality, incomplete penetrance
MGI:97290	Ndn	Ndn<tm1Stw>/Ndn<+>	involves: 129S1/Sv * C3H/He * C57BL/6	ht	MP:0002082	postnatal lethality
MGI:97290	Ndn	Ndn<tm1Stw>/Ndn<+>	involves: 129S1/Sv * C57BL/6	ht	MP:0002082	postnatal lethality
MGI:97290	Ndn	Ndn<tm1Stw>/Ndn<+>	involves: 129S1/Sv * FVB	ht	MP:0002082	postnatal lethality
MGI:97290	Ndn	Ndn<tm2Stw>/Ndn<+>	involves: 129S1/Sv * C57BL/6	ht	MP:0002082	postnatal lethality
MGI:97290	Ndn	Ndn<tm2Stw>/Ndn<+>	involves: 129S1/Sv * C57BL/6J	ht	MP:0011087	neonatal lethality, complete penetrance
MGI:2443902	Nell1	Nell1<l7R6-1R>/Nell1<l7R6-4R>	Mixed stock	ht	MP:0011089	perinatal lethality, complete penetrance
MGI:2443902	Nell1	Nell1<l7R6-1R>/Nell1<l7R6-4R>	Mixed stock	ht	MP:0011101	prenatal lethality, incomplete penetrance
MGI:2443902	Nell1	Nell1<l7R6-1R>/Nell1<l7R6-5R>	Mixed stock	ht	MP:0011089	perinatal lethality, complete penetrance
MGI:2443902	Nell1	Nell1<l7R6-1R>/Nell1<l7R6-5R>	Mixed stock	ht	MP:0011101	prenatal lethality, incomplete penetrance
MGI:2443902	Nell1	Nell1<l7R6-1R>/Nell1<l7R6-7R>	Mixed stock	ht	MP:0011089	perinatal lethality, complete penetrance
MGI:2443902	Nell1	Nell1<l7R6-1R>/Nell1<l7R6-7R>	Mixed stock	ht	MP:0011101	prenatal lethality, incomplete penetrance
MGI:2443902	Nell1	Nell1<l7R6-1R>/Nell1<l7R6-8R>	Mixed stock	ht	MP:0011089	perinatal lethality, complete penetrance
MGI:2443902	Nell1	Nell1<l7R6-1R>/Nell1<l7R6-8R>	Mixed stock	ht	MP:0011101	prenatal lethality, incomplete penetrance
MGI:1861674	Nespas	Nespas<tm1.1Hju>/Nespas<+>	either: (involves: 129S4/SvJae) or (involves: 129S4/SvJae * C57BL/6J)	ht	MP:0011085	postnatal lethality, complete penetrance
MGI:1861674	Nespas	Nespas<tm1Jop>/Nespas<+>	involves: 129S/SvEv	ht	MP:0011085	postnatal lethality, complete penetrance
MGI:1339708	Neurod1	Neurod1<tm1Kan>/Neurod1<tm1Mjts>	involves: 129P2/OlaHsd * 129S7/SvEvBrd	ht	MP:0011089	perinatal lethality, complete penetrance
MGI:97306	Nf1	Nf1<tm1Fcr>/Nf1<tm1.1Par>	involves: 129S/SvEv * 129S1/Sv * 129S2/SvPas * 129X1/SvJ	ht	MP:0011098	embryonic lethality during organogenesis, complete penetrance
MGI:97306	Nf1	Nf1<tm1Tyj>/Nf1<tm2Tyj>	chimera involves: 129S2/SvPas	ht	MP:0011085	postnatal lethality, complete penetrance
MGI:103188	Nfib	Nfib<tm1Rmg>/Nfib<+>	involves: 129P2/OlaHsd * Black Swiss	ht	MP:0011088	neonatal lethality, incomplete penetrance
MGI:103188	Nfib	Nfib<tm1Rmg>/Nfib<+>	involves: 129P2/OlaHsd * C57BL/6	ht	MP:0011086	postnatal lethality, incomplete penetrance
MGI:1913976	Nipbl	Nipbl<Gt(RRS564)Byg>/Nipbl<+>	involves: 129P2/OlaHsd * CD-1	ht	MP:0002082	postnatal lethality
MGI:1206039	Nkx6-1	Nkx6-1<tm1Jlr>/Nkx6-1<tm1.2Msan>	involves: 129S6/SvEvTac * C57BL * DBA * SJL	ht	MP:0011087	neonatal lethality, complete penetrance
MGI:1201387	Nlk	Nlk<Gt(RRJ297)Byg>/Nlk<Gt(XN619)Byg>	B6.129P2-Nlk<Gt(RRJ297)Byg>/Nlk<Gt(XN619)Byg>	ht	MP:0011087	neonatal lethality, complete penetrance
MGI:2653833	Nlrp3	Nlrp3<tm3.1Hhf>/Nlrp3<+>	involves: 129	ht	MP:0011085	postnatal lethality, complete penetrance
MGI:102579	Nmt1	Nmt1<Gt(XE400)Byg>/Nmt1<+>	involves: 129P2/OlaHsd * C57BL/6	ht	MP:0011101	prenatal lethality, incomplete penetrance
MGI:97359	Nodal	Nodal<TgR(MPSVNeo)413.dRob>/Nodal<tm4Rob>	involves: 129S/SvEv * C57BL/6	ht	MP:0011097	embryonic lethality between somite formation and embryo turning, complete penetrance
MGI:97359	Nodal	Nodal<tm1.2Rob>/Nodal<tm3Rob>	involves: 129S/SvEv * MF1	ht	MP:0011087	neonatal lethality, complete penetrance
MGI:97359	Nodal	Nodal<tm1Mku>/Nodal<tm1.1Mku>	either: (involves: 129S1/Sv * FVB/N) or (involves: 129S1/Sv * C57BL/6J * FVB/N)	ht	MP:0011089	perinatal lethality, complete penetrance
MGI:97359	Nodal	Nodal<tm1Mku>/Nodal<tm1.1Mku>	either: (involves: 129S1/Sv * FVB/N) or (involves: 129S1/Sv * C57BL/6J * FVB/N)	ht	MP:0011102	embryonic lethality, incomplete penetrance
MGI:97362	Nos3	Nos3<tm1Unc>/Nos3<+>	B6.129P2-Nos3<tm1Unc>/J	ht	MP:0011086	postnatal lethality, incomplete penetrance
MGI:97363	Notch1	Notch1<tm2Pst>/Notch1<tm2.1Pst>	involves: 129/Sv * C57BL/6 * SJL	ht	MP:0011098	embryonic lethality during organogenesis, complete penetrance
MGI:106184	Npm1	Npm1<tm1Ppp>/Npm1<+>	involves: 129S1/Sv * C57BL/6	ht	MP:0011109	lethality throughout fetal growth and development, incomplete penetrance
MGI:2449205	Nr1d2	Nr1d2<tm1Dgen>/Nr1d2<+>	B6;129P2-Nr1d2<tm1Dgen>/H	ht	MP:0011088	neonatal lethality, incomplete penetrance
MGI:1352452	Nr2f2	Nr2f2<tm1Tsa>/Nr2f2<+>	either: 129S7/SvEvBrd or C57BL/6 or (involves: 129S7/SvEvBrd * C57BL/6 * ICR)	ht	MP:0011086	postnatal lethality, incomplete penetrance
MGI:1352457	Nr4a3	Nr4a3<tm1Wnt>/Nr4a3<+>	involves: 129S4/SvJae	ht	MP:0011101	prenatal lethality, incomplete penetrance
MGI:1346834	Nr5a2	Nr5a2<tm1Lex>/Nr5a2<+>	involves: 129	ht	MP:0011101	prenatal lethality, incomplete penetrance
MGI:1099438	Nsdhl	Nsdhl<Bpa-1H>/Nsdhl<+>	involves: 101/H * C3H/HeH	ht	MP:0011086	postnatal lethality, incomplete penetrance
MGI:1099438	Nsdhl	Nsdhl<Bpa-1H>/Nsdhl<+>	involves: 101/H * C3H/HeH	ht	MP:0011090	perinatal lethality, incomplete penetrance
MGI:97394	Oat	Oat<rhg>/Oat<tm1Dva>	involves: 129S7/SvEvBrd * AKR/J * C57BL/6J * C57BL/6JEi	ht	MP:0011110	preweaning lethality, incomplete penetrance
MGI:97454	Oca2	Oca2<p-226THO-I>/Oca2<p-4THO-II>	involves: 101/Rl * C3H/Rl	ht	MP:0002058	neonatal lethality
MGI:97454	Oca2	Oca2<p-4THO-II>/Oca2<p-8FDFoD>	involves: 101/Rl * C3H/Rl	ht	MP:0002058	neonatal lethality
MGI:97434	Om	Om/Om<+>	either: (DDK x C57BL/6J)F1 or (DDK x KK)F1 or (DDK x NC)F1	ht	MP:0011104	embryonic lethality before implantation, incomplete penetrance
MGI:97446	Os	Os/Os<+>	involves: 101 * C3H * CBA/Gr	ht	MP:0002080	prenatal lethality
MGI:97451	Otx2	Otx2<tm12.1Asim>/Otx2<tm11Asim>	involves: 129P2/OlaHsd * C57BL/6 * DBA/2	ht	MP:0011087	neonatal lethality, complete penetrance
MGI:97451	Otx2	Otx2<tm1Pas>/Otx2<+>	involves: C57BL/6 * FVB/N	ht	MP:0011110	preweaning lethality, incomplete penetrance
MGI:97451	Otx2	Otx2<tm1Sia>/Otx2<+>	involves: C57BL/6 * CBA	ht	MP:0011088	neonatal lethality, incomplete penetrance
MGI:97451	Otx2	Otx2<tm1Sla>/Otx2<+>	involves: 129S1/Sv * 129X1/SvJ * CD-1	ht	MP:0011110	preweaning lethality, incomplete penetrance
MGI:1338898	Padi4	Padi4<tm1.1Ywan>/Padi4<+>	involves: 129S4/SvJae	ht	MP:0010831	lethality, incomplete penetrance
MGI:109520	Pafah1b1	Pafah1b1<tm1Awb>/Pafah1b1<tm2Awb>	involves: 129S6/SvEvTac * FVB/N * NIH Black Swiss	ht	MP:0011085	postnatal lethality, complete penetrance
MGI:97486	Pax2	Pax2<1Neu>/Pax2<+>	involves: 102 * C57BL/6	ht	MP:0011086	postnatal lethality, incomplete penetrance
MGI:97486	Pax2	Pax2<1Neu>/Pax2<+>	involves: 102 * C57BL/6	ht	MP:0011109	lethality throughout fetal growth and development, incomplete penetrance
MGI:97486	Pax2	Pax2<tm1Gdr>/Pax2<tm1.1Gdr>	involves: 129S1/Sv * 129X1/SvJ * C57BL/6	ht	MP:0011087	neonatal lethality, complete penetrance
MGI:97487	Pax3	Pax3<Sp-4H>/Pax3<+>	involves: 101/H * C3H/HeH	ht	MP:0011101	prenatal lethality, incomplete penetrance
MGI:97487	Pax3	Pax3<tm1Buck>/Pax3<Sp>	involves: 129P2/OlaHsd * C57BL	ht	MP:0011091	prenatal lethality, complete penetrance
MGI:97487	Pax3	Pax3<tm3.1(Pax7)Buck>/Pax3<Sp>	involves: 129S2/SvPas	ht	MP:0011089	perinatal lethality, complete penetrance
MGI:97490	Pax6	Pax6<Sey-2H>/Pax6<+>	Not Specified	ht	MP:0011086	postnatal lethality, incomplete penetrance
MGI:97490	Pax6	Pax6<Sey-2H>/Pax6<+>	Not Specified	ht	MP:0011090	perinatal lethality, incomplete penetrance
MGI:97490	Pax6	Pax6<Sey-2H>/Pax6<+>	Not Specified	ht	MP:0011102	embryonic lethality, incomplete penetrance
MGI:97490	Pax6	Pax6<Sey-3H>/Pax6<+>	Not Specified	ht	MP:0011086	postnatal lethality, incomplete penetrance
MGI:97490	Pax6	Pax6<Sey-3H>/Pax6<+>	Not Specified	ht	MP:0011090	perinatal lethality, incomplete penetrance
MGI:97490	Pax6	Pax6<Sey-Dey>/Pax6<+>	C3H/HeJ-Pax6<Sey-Dey>	ht	MP:0011088	neonatal lethality, incomplete penetrance
MGI:97490	Pax6	Pax6<Sey-Dey>/Pax6<+>	involves: C3H/HeJ	ht	MP:0011101	prenatal lethality, incomplete penetrance
MGI:97493	Pax9	Pax9<tm1Hpt>/Pax9<tm1Rbal>	involves: 129 * C57BL/6 * CD-1	ht	MP:0011086	postnatal lethality, incomplete penetrance
MGI:97495	Pbx1	Pbx1<tm1Mlc>/Pbx1<tm2.1Mlc>	involves: 129S6/SvEvTac	ht	MP:0011099	lethality throughout fetal growth and development, complete penetrance
MGI:97528	Pdgfb	Pdgfb<tm1Cbet>/Pdgfb<tm3.1Cbet>	involves: 129P2/OlaHsd * 129S1/Sv * 129X1/SvJ	ht	MP:0011089	perinatal lethality, complete penetrance
MGI:97530	Pdgfra	Pdgfra<tm10(Pdgfra/tor)Sor>/Pdgfra<tm11(EGFP)Sor>	either: (involves: 129S4/SvJaeSor) or (involves: 129S4/SvJaeSor * C57BL/6)	ht	MP:0011091	prenatal lethality, complete penetrance
MGI:97530	Pdgfra	Pdgfra<tm12.1Sor>/Pdgfra<+>	involves: 129 * C57BL/6	ht	MP:0011085	postnatal lethality, complete penetrance
MGI:97530	Pdgfra	Pdgfra<tm13.1Sor>/Pdgfra<+>	involves: 129 * C57BL/6	ht	MP:0011086	postnatal lethality, incomplete penetrance
MGI:97530	Pdgfra	Pdgfra<tm9(Pdgfra/Fgfr1)Sor>/Pdgfra<tm11(EGFP)Sor>	either: (involves: 129S4/SvJaeSor) or (involves: 129S4/SvJaeSor * C57BL/6)	ht	MP:0011098	embryonic lethality during organogenesis, complete penetrance
MGI:97531	Pdgfrb	Pdgfrb<tm1Sor>/Pdgfrb<tm5Sor>	either: (involves: 129S4/SvJaeSor * 129S7/SvEvBrd) or (involves: 129S4/SvJaeSor * 129S7/SvEvBrd * C57BL/6)	ht	MP:0011086	postnatal lethality, incomplete penetrance
MGI:97531	Pdgfrb	Pdgfrb<tm1Sor>/Pdgfrb<tm5Sor>	either: (involves: 129S4/SvJaeSor * 129S7/SvEvBrd) or (involves: 129S4/SvJaeSor * 129S7/SvEvBrd * C57BL/6)	ht	MP:0011090	perinatal lethality, incomplete penetrance
MGI:1914649	Pdlim7	Pdlim7<Gt(OST445990)Lex>/Pdlim7<+>	B6.129S5-Pdlim7<Gt(OST445990)Lex>	ht	MP:0011086	postnatal lethality, incomplete penetrance
MGI:1914649	Pdlim7	Pdlim7<Gt(OST445990)Lex>/Pdlim7<+>	B6.129S5-Pdlim7<Gt(OST445990)Lex>	ht	MP:0011088	neonatal lethality, incomplete penetrance
MGI:1338068	Pdpk1	Pdpk1<tm1Mlw>/Pdpk1<tm1.2Mlw>	involves: BALB/c	ht	MP:0011101	prenatal lethality, incomplete penetrance
MGI:1338068	Pdpk1	Pdpk1<tm2Ejm>/Pdpk1<+>	involves: 129P2/OlaHsd * BALB/c	ht	MP:0011101	prenatal lethality, incomplete penetrance
MGI:102851	Pdx1	Pdx1<tm2Cvw>/Pdx1<tm3Cvw>	involves: 129/Sv * C57BL/6 * DBA * FVB/N	ht	MP:0011085	postnatal lethality, complete penetrance
MGI:2157785	Peg10	Peg10<tm1Fuis>/Peg10<+>	involves: 129S/SvEv	ht	MP:0011098	embryonic lethality during organogenesis, complete penetrance
MGI:104748	Peg3	Peg3<tm1.1Jkim>/Peg3<+>	involves: 129S7/SvEvBrd * C57BL/6 * C57BL/6J	ht	MP:0011108	embryonic lethality during organogenesis, incomplete penetrance
MGI:104748	Peg3	Peg3<tm1a(EUCOMM)Hmgu>/Peg3<+>	involves: C57BL/6N	ht	MP:0011086	postnatal lethality, incomplete penetrance
MGI:97549	Pfn1	Pfn1<tm1Wit>/Pfn1<+>	B6.129S4-Pfn1<tm1Wit>	ht	MP:0011090	perinatal lethality, incomplete penetrance
MGI:97549	Pfn1	Pfn1<tm1Wit>/Pfn1<+>	B6.129S4-Pfn1<tm1Wit>	ht	MP:0011101	prenatal lethality, incomplete penetrance
MGI:97549	Pfn1	Pfn1<tm1Wit>/Pfn1<+>	involves: 129S4/SvJae * BALB/c	ht	MP:0011090	perinatal lethality, incomplete penetrance
MGI:97549	Pfn1	Pfn1<tm1Wit>/Pfn1<+>	involves: 129S4/SvJae * BALB/c	ht	MP:0011101	prenatal lethality, incomplete penetrance
MGI:97549	Pfn1	Pfn1<tm1Wit>/Pfn1<+>	involves: 129S4/SvJae * C57BL/6	ht	MP:0011090	perinatal lethality, incomplete penetrance
MGI:97549	Pfn1	Pfn1<tm1Wit>/Pfn1<+>	involves: 129S4/SvJae * C57BL/6	ht	MP:0011101	prenatal lethality, incomplete penetrance
MGI:97566	Pgm3	Pgm3<Gt(W037B08)Wrst>/Pgm3<mld1>	involves: 129S1/Sv * C57BL/6	ht	MP:0002082	postnatal lethality
MGI:102520	Phb2	Phb2<tm1Katz>/Phb2<+>	involves: 129S6/SvEvTac * C57BL/6	ht	MP:0011101	prenatal lethality, incomplete penetrance
MGI:1100882	Phox2b	Phox2b<Dilp1>/Phox2b<+>	involves: BALB/cAnN * C3H/HeN	ht	MP:0011110	preweaning lethality, incomplete penetrance
MGI:1100882	Phox2b	Phox2b<tm1.1Heno>/Phox2b<+>	either: (involves: 129P2/OlaHsd * C57BL/6) or (involves: 129P2/OlaHsd * C57BL/6 * DBA/2)	ht	MP:0011087	neonatal lethality, complete penetrance
MGI:1100882	Phox2b	Phox2b<tm2.1Heno>/Phox2b<+>	either: (involves: 129P2/OlaHsd * C57BL/6) or (involves: 129P2/OlaHsd * C57BL/6 * DBA/2)	ht	MP:0011087	neonatal lethality, complete penetrance
MGI:1100882	Phox2b	Phox2b<tm2Jbr>/Phox2b<+>	involves: 129S2/SvPas * C57BL/6	ht	MP:0011087	neonatal lethality, complete penetrance
MGI:1923670	Pifo	Pifo<tm1.1Heli>/Pifo<+>	chimera involves: 129S6/SvEvTac * C57BL/6J	ht	MP:0011098	embryonic lethality during organogenesis, complete penetrance
MGI:99461	Piga	Piga<tm1.1Tak>/Piga<+>	involves: 129S1/Sv * 129X1/SvJ	ht	MP:0011091	prenatal lethality, complete penetrance
MGI:1919650	Pinx1	Pinx1<tm1.1Kplu>/Pinx1<+>	involves: 129S7/SvEvBrd * C57BL/6 * FVB/N	ht	MP:0011101	prenatal lethality, incomplete penetrance
MGI:109340	Pitx2	Pitx2<tm1Jfm>/Pitx2<tm2.1Jfm>	involves: 129S4/SvJaeSor * C57BL/6J	ht	MP:0011109	lethality throughout fetal growth and development, incomplete penetrance
MGI:109340	Pitx2	Pitx2<tm1Jfm>/Pitx2<tm2Jfm>	involves: 129S4/SvJaeSor * C57BL/6J	ht	MP:0011109	lethality throughout fetal growth and development, incomplete penetrance
MGI:97603	Pkd1	Pkd1<tm1Ggg>/Pkd1<tm2.1Ggg>	involves: 129S4/SvJae * Black Swiss * C57BL/6	ht	MP:0011091	prenatal lethality, complete penetrance
MGI:2444945	Pla2g3	Pla2g3<tm1Murm>/Pla2g3<+>	involves: 129S/SvEv * C57BL/6J	ht	MP:0011094	embryonic lethality before implantation, complete penetrance
MGI:104810	Plaa	Plaa<em1Pmi>/Plaa<tm1(NCOM)Cmhd>	either (involves: C57BL/6J * C57BL/6NCrl) or (involves: C57BL/6J * C57BL/6NCrl * CD1)	ht	MP:0011100	preweaning lethality, complete penetrance
MGI:1100874	Plagl1	Plagl1<Gt(OST181461)Lex>/Plagl1<+>	involves: 129S5/SvEvBrd	ht	MP:0002080	prenatal lethality
MGI:1100874	Plagl1	Plagl1<Gt(OST181461)Lex>/Plagl1<+>	involves: 129S5/SvEvBrd	ht	MP:0002082	postnatal lethality
MGI:1100874	Plagl1	Plagl1<tm1Jour>/Plagl1<+>	B6.129P2-Plagl1<tm1Jour>	ht	MP:0011086	postnatal lethality, incomplete penetrance
MGI:1100874	Plagl1	Plagl1<tm1Jour>/Plagl1<+>	B6.129P2-Plagl1<tm1Jour>	ht	MP:0011088	neonatal lethality, incomplete penetrance
MGI:1100874	Plagl1	Plagl1<tm1Jour>/Plagl1<+>	CBA.129P2-Plagl1<tm1Jour>	ht	MP:0002082	postnatal lethality
MGI:101783	Plk4	Plk4<Gt(XK603)Byg>/Plk4<m1Lja>	involves: 129P2/OlaHsd * C57BL/6J	ht	MP:0011092	embryonic lethality, complete penetrance
MGI:1859214	Pmm2	Pmm2<tm1.1Cknr>/Pmm2<tm2.1Cknr>	involves: C57BL/6J	ht	MP:0011098	embryonic lethality during organogenesis, complete penetrance
MGI:1859214	Pmm2	Pmm2<tm1.1Jins>/Pmm2<tm2.1Jins>	involves: 129S6/SvEvTac * C57BL/6J	ht	MP:0011101	prenatal lethality, incomplete penetrance
MGI:97631	Pmp22	Pmp22<Tr>/Pmp22<+>	Not Specified	ht	MP:0011083	lethality at weaning, complete penetrance
MGI:1100514	Pnn	Pnn<tm1Sps>/Pnn<tm1.2Sps>	involves: 129S4/SvJae * C57BL/6	ht	MP:0011098	embryonic lethality during organogenesis, complete penetrance
MGI:1916863	Pofut2	Pofut2<Gt(OST231463)Lex>/Pofut2<Gt(RST434)Byg>	involves: 129P2/OlaHsd * 129S5/SvEvBrd	ht	MP:0011092	embryonic lethality, complete penetrance
MGI:97744	Por	Por<tm1Cbk>/Por<+>	involves: 129S1/Sv * 129X1/SvJ * C57BL/6	ht	MP:0011086	postnatal lethality, incomplete penetrance
MGI:97744	Por	Por<tm1Cbk>/Por<+>	involves: 129S1/Sv * 129X1/SvJ * C57BL/6	ht	MP:0011109	lethality throughout fetal growth and development, incomplete penetrance
MGI:97744	Por	Por<tm2Ding>/Por<+>	involves: 129S1/Sv * C57BL/6	ht	MP:0011101	prenatal lethality, incomplete penetrance
MGI:1890212	Porcn	Porcn<tm1.2Vdv>/Porcn<+>	involves: 129S4/SvJaeSor * 129S5/SvEvBrd * C57BL/6J * FVB/N	ht	MP:0011101	prenatal lethality, incomplete penetrance
MGI:1890212	Porcn	Porcn<tm1.2Vdv>/Porcn<+>	involves: 129S4/SvJaeSor * 129S5/SvEvBrd * C57BL/6J * FVB/N	ht	MP:0011102	embryonic lethality, incomplete penetrance
MGI:102525	Pou4f1	Pou4f1<tm1Et>/Pou4f1<tm1Nat>	involves: 129/Sv * 129S4/SvJae * 129S7/SvEvBrd	ht	MP:0002058	neonatal lethality
MGI:99655	Prdm1	Prdm1<tm1.1Clme>/Prdm1<tm1.1Liz>	involves: 129S/SvEv * 129S1/Sv * 129X1/SvJ	ht	MP:0011086	postnatal lethality, incomplete penetrance
MGI:99655	Prdm1	Prdm1<tm1.1Clme>/Prdm1<tm1.1Liz>	involves: 129S/SvEv * 129S1/Sv * 129X1/SvJ	ht	MP:0011109	lethality throughout fetal growth and development, incomplete penetrance
MGI:99655	Prdm1	Prdm1<tm1.1Clme>/Prdm1<tm2Rob>	involves: 129S/Sv * 129X1/Sv * C57BL/6 * FVB/N * ICR	ht	MP:0011098	embryonic lethality during organogenesis, complete penetrance
MGI:1095733	Pros1	Pros1<tm1.2Grl>/Pros1<+>	involves: 129S1/SvImJ * FVB/N	ht	MP:0011101	prenatal lethality, incomplete penetrance
MGI:97772	Prox1	Prox1<tm1Gco>/Prox1<+>	involves: 129S1/Sv * 129X1/SvJ	ht	MP:0011085	postnatal lethality, complete penetrance
MGI:97772	Prox1	Prox1<tm1Gco>/Prox1<+>	involves: 129S1/Sv * 129X1/SvJ * NMRI	ht	MP:0011086	postnatal lethality, incomplete penetrance
MGI:97712	Prrx1	Prrx1<tm1Jfm>/Prrx1<tm1Tex>	involves: 129S4/SvJaeSor * 129S7/SvEvBrd	ht	MP:0002058	neonatal lethality
MGI:1923810	Prss8	Prss8<tm1.1Bug>/Prss8<Gt(IST10122F12)Tigm>	involves: 129S6/SvEvTac * Black Swiss * C57BL/6J * C57BL/6N	ht	MP:0011086	postnatal lethality, incomplete penetrance
MGI:1202717	Psen1	Psen1<tm1Mpm>/Psen1<tm1Shn>	involves: 129S1/Sv * 129S7/SvEvBrd * 129X1/SvJ	ht	MP:0011099	lethality throughout fetal growth and development, complete penetrance
MGI:1202717	Psen1	Psen1<tm1Shn>/Psen1<tm1.1Tcs>	involves: 129S7/SvEvBrd * C57BL/6J	ht	MP:0011092	embryonic lethality, complete penetrance
MGI:2142116	Psip1	Psip1<Gt(betageo)1Hgs>/Psip1<+>	B6.129P2-Psip1<Gt(betageo)1Hgs>	ht	MP:0011086	postnatal lethality, incomplete penetrance
MGI:97789	Pst	Pst/Pst<+>	involves: 129 * CBA/FaCam * Peru-Coppock	ht	MP:0011089	perinatal lethality, complete penetrance
MGI:105373	Ptch1	Ptch1<dl>/Ptch1<tm1Mps>	involves: 129S1/SvImJ * 129X1/SvJ * C57BL/6J	ht	MP:0011109	lethality throughout fetal growth and development, incomplete penetrance
MGI:105373	Ptch1	Ptch1<tm1Zim>/Ptch1<+>	either: (involves: 129/Sv * C57BL/6) or (involves: 129/Sv * CD-1)	ht	MP:0011109	lethality throughout fetal growth and development, incomplete penetrance
MGI:109583	Pten	Pten<tm1Mak>/Pten<+>	B6.129P2-Pten<tm1Mak>	ht	MP:0011108	embryonic lethality during organogenesis, incomplete penetrance
MGI:109583	Pten	Pten<tm1Ppp>/Pten<tm2Ppp>	involves: 129S1/Sv * C57BL/6	ht	MP:0011101	prenatal lethality, incomplete penetrance
MGI:99511	Ptpn11	Ptpn11<tm1Bgn>/Ptpn11<+>	B6.129S4-Ptpn11<tm1Bgn>	ht	MP:0011090	perinatal lethality, incomplete penetrance
MGI:99511	Ptpn11	Ptpn11<tm1Bgn>/Ptpn11<+>	C.129S4-Ptpn11<tm1Bgn>	ht	MP:0011090	perinatal lethality, incomplete penetrance
MGI:99511	Ptpn11	Ptpn11<tm1Bgn>/Ptpn11<+>	involves: 129S4/SvJae * C57BL/6	ht	MP:0011090	perinatal lethality, incomplete penetrance
MGI:99511	Ptpn11	Ptpn11<tm1Bgn>/Ptpn11<+>	involves: 129S4/SvJae * C57BL/6J	ht	MP:0011090	perinatal lethality, incomplete penetrance
MGI:104574	Ptprj	Ptprj<tm1Taka>/Ptprj<+>	involves: 129S6/SvEvTac * C57BL/6	ht	MP:0011108	embryonic lethality during organogenesis, incomplete penetrance
MGI:97837	Qk	Qk<qk-k2>/Qk<qk-kt1>	involves: C57BL/6 * CBA/Ca * STOCK t<w5>	ht	MP:0011095	embryonic lethality between implantation and placentation, complete penetrance
MGI:97837	Qk	Qk<qk-k2>/Qk<qk-kt4>	involves: C57BL/6 * CBA/Ca * STOCK t<w5>	ht	MP:0011089	perinatal lethality, complete penetrance
MGI:102790	Rab18	Rab18<Gt(EUCE0233a03)Hmgu>/Rab18<+>	involves: 129P2/OlaHsd * C57BL/6J	ht	MP:0011090	perinatal lethality, incomplete penetrance
MGI:105068	Rab7	Rab7<tm1.2Ale>/Rab7<+>	involves: 129S1/Sv * 129X1/SvJ	ht	MP:0010831	lethality, incomplete penetrance
MGI:109292	Rad50	Rad50<tm1Jpt>/Rad50<tm4.1Jpt>	involves: 129/Sv * 129S7/SvEvBrd * C57BL/6	ht	MP:0011091	prenatal lethality, complete penetrance
MGI:109292	Rad50	Rad50<tm5Jpt>/Rad50<+>	involves: 129/Sv * C57BL/6	ht	MP:0011091	prenatal lethality, complete penetrance
MGI:2385231	Rad9b	Rad9b<tm1Lieb>/Rad9b<+>	involves: 129S6/SvEvTac * C57BL/6J	ht	MP:0011086	postnatal lethality, incomplete penetrance
MGI:2385231	Rad9b	Rad9b<tm1Lieb>/Rad9b<+>	involves: 129S6/SvEvTac * C57BL/6J	ht	MP:0011108	embryonic lethality during organogenesis, incomplete penetrance
MGI:2385231	Rad9b	Rad9b<tm1Lieb>/Rad9b<+>	involves: 129S6/SvEvTac * C57BL/6J	ht	MP:0011109	lethality throughout fetal growth and development, incomplete penetrance
MGI:97874	Rb1	Rb1<tm1Dwg>/Rb1<tm1Tyj>	involves: 129/Sv * 129S2/SvPas * C57BL/6	ht	MP:0011099	lethality throughout fetal growth and development, complete penetrance
